item,issn,label,publisher,homepage_url,http_status,final_url,category
3911,2578-7470,HIV RESEARCH & CLINICAL PRACTICE / TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,https://www.tandfonline.com/toc/yhct21/current,403,https://www.tandfonline.com/toc/yhct21/current,BROKEN_403
3912,1554-4419,Muslim World Journal of Human Rights Walter de Gru / Unknown,Unknown,,NO_URL,,NO_URL
3913,2694-720X,Opera Historica University of South Bohemia / Unknown,Unknown,,NO_URL,,NO_URL
3914,2816-6477,Canadian Journal of Health History University of T / Unknown,Unknown,,NO_URL,,NO_URL
3915,1554-6853,Competition Policy International Competition Polic / Unknown,Unknown,http://www.esapience.org,ERROR,timed out,BROKEN_NET
3916,0016-0032,JOURNAL OF THE FRANKLIN INSTITUTE / PERGAMON-ELSEVIER SCIENCE LTD,PERGAMON-ELSEVIER SCIENCE LTD,https://www.journals.elsevier.com/journal-of-the-franklin-institute,403,https://www.journals.elsevier.com/journal-of-the-franklin-institute,BROKEN_403
3917,0036-6803,School Science and Mathematics John Wiley & Sons I / Unknown,Unknown,https://onlinelibrary.wiley.com/journal/19498594,403,https://onlinelibrary.wiley.com/journal/19498594,BROKEN_403
3918,0706-652X,CANADIAN JOURNAL OF FISHERIES  AND AQUATIC SCIENCE / CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING,http://www.nrc.ca/cgi-bin/cisti/journals/rp/rp2%5Fdesc%5Fe?cjfas,403,http://www.nrc.ca/cgi-bin/cisti/journals/rp/rp2%5Fdesc%5Fe?cjfas,BROKEN_403
3919,0883-7694,MRS BULLETIN / SPRINGER HEIDELBERG,SPRINGER HEIDELBERG,http://journals.cambridge.org/action/displayjournal?jid=mrs,200,https://www.cambridge.org/core/redirect-support,WORKING
3920,0021-9630,JOURNAL OF CHILD PSYCHOLOGY AND  PSYCHIATRY / WILEY,WILEY,http://www.blackwellpublishing.com/journal.asp?ref=0021-9630,500,http://www.blackwellpublishing.com/journal.asp?ref=0021-9630,BROKEN_500
3921,1369-183X,"JOURNAL OF ETHNIC AND MIGRATION  STUDIES / ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS","ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LTD",https://www.tandfonline.com/toc/cjms20/current,403,https://www.tandfonline.com/toc/cjms20/current,BROKEN_403
3922,0309-1317,INTERNATIONAL JOURNAL OF URBAN  AND REGIONAL RESEA / WILEY,WILEY,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2427,403,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2427,BROKEN_403
3923,1672-6316,JOURNAL OF MOUNTAIN SCIENCE / SCIENCE PRESS,SCIENCE PRESS,https://www.springer.com/journal/11629,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F11629,WORKING
3924,1745-5863,GEOGRAPHICAL RESEARCH / WILEY,WILEY,https://onlinelibrary.wiley.com/journal/17455871,200,https://onlinelibrary.wiley.com/action/cookieAbsent,WORKING
3925,0166-0462,REGIONAL SCIENCE AND URBAN  ECONOMICS / ELSEVIER,ELSEVIER,https://www.journals.elsevier.com/regional-science-and-urban-economics,403,https://www.journals.elsevier.com/regional-science-and-urban-economics,BROKEN_403
3926,2543-6309,Journal of Theoretical and Applied Mechanics/Mecha / Unknown,Unknown,http://www.imbm.bas.bg/tm/jtam,ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018),BROKEN_NET
3927,2300-357X,Acta Agrobotanica Polish Botanical Society / Unknown,Unknown,https://pbsociety.org.pl/journals/index.php/aa/index,500,https://pbsociety.org.pl/journals/index.php/aa/index,BROKEN_500
3928,2051-3380,Respirology Case Reports Wiley-Blackwell Publishin / Unknown,Unknown,https://onlinelibrary.wiley.com/journal/20513380,200,https://onlinelibrary.wiley.com/action/cookieAbsent,WORKING
3929,1448-7527,AUSTRALIAN JOURNAL OF PRIMARY  HEALTH / CSIRO PUBLISHING,CSIRO PUBLISHING,http://www.publish.csiro.au/py,403,http://www.publish.csiro.au/py,BROKEN_403
3930,2083-6007,POLISH JOURNAL OF FOOD AND  NUTRITION SCIENCES / INST ANIMAL REPRODUCTION &  FOO,INST ANIMAL REPRODUCTION &  FOOD RESEARCH POLISH ACAD  SCIEN,http://www.degruyter.com/view/j/pjfns,200,https://www.degruyterbrill.com:443/,WORKING
3931,2216-0280,Investigacion y Educacion en Enfermeria Facultad d / Unknown,Unknown,https://revistas.udea.edu.co/index.php/iee,200,https://revistas.udea.edu.co/index.php/iee,WORKING
3932,1385-1292,POSITIVITY / SPRINGER,SPRINGER,https://www.springer.com/journal/11117,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F11117,WORKING
3933,2658-1442,Combustion Engines Polish Scientific Society of Co / Unknown,Unknown,,NO_URL,,NO_URL
3934,1573-160X,Physical Oceanography Marine Hydrophysical Institu / Unknown,Unknown,http://physical-oceanography.ru/index.html,200,https://physical-oceanography.ru/index.html,WORKING
3935,0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS / WORLD SCIENTIFIC PUBL CO PTE  LTD,WORLD SCIENTIFIC PUBL CO PTE  LTD,http://www.worldscinet.com/jbs/jbs.shtml,520,http://www.worldscinet.com/jbs/jbs.shtml,BROKEN_520
3936,2224-7890,SOUTH AFRICAN JOURNAL OF  INDUSTRIAL ENGINEERING / SOUTHERN AFRICAN INST  INDUST,SOUTHERN AFRICAN INST  INDUSTRIAL ENGINEERING,http://sajie.journals.ac.za,200,http://sajie.journals.ac.za/pub,WORKING
3937,0212-4130,Revista de Filologia de la Universidad de La Lagun / Unknown,Unknown,,NO_URL,,NO_URL
3938,1876-2883,BENEFICIAL MICROBES / BRILL,BRILL,http://wageningenacademic.metapress.com,200,https://metapress.com/,WORKING
3939,0033-5835,QUARTERLY REVIEWS OF BIOPHYSICS / CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics#,200,https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics,WORKING
3940,1465-4253,AFTERALL / UNIV CHICAGO PRESS,UNIV CHICAGO PRESS,,NO_URL,,NO_URL
3941,1747-5112,Research in Post-Compulsory Education Routledge / Unknown,Unknown,https://www.tandfonline.com/toc/rpce20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
3942,1061-3862,International Journal of Self-Propagating High-Tem / Unknown,Unknown,https://www.springer.com/journal/12003,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F12003,WORKING
3943,2550-2131,GEMA Online Journal of Language Studies Penerbit U / Unknown,Unknown,http://ejournal.ukm.my/gema,ERROR,Remote end closed connection without response,BROKEN_NET
3944,0015-5500,"FOLIA BIOLOGICA / CHARLES UNIV PRAGUE, FIRST  FACULTY MEDI","CHARLES UNIV PRAGUE, FIRST  FACULTY MEDICINE",,NO_URL,,NO_URL
3945,2533-7602,Folia Biologica (Czech Republic) Charles Universit / Unknown,Unknown,,NO_URL,,NO_URL
3946,0267-1905,ANNUAL REVIEW OF APPLIED  LINGUISTICS / CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,http://journals.cambridge.org/APL,200,https://www.cambridge.org/core/journals/annual-review-of-applied-linguistics,WORKING
3947,1876-1364,JOURNAL OF AMBIENT INTELLIGENCE  AND SMART ENVIRON / IOS PRESS,IOS PRESS,http://www.iospress.nl/journal-of-ambient-intelligence-and-smart-environment,404,http://www.iospress.nl/journal-of-ambient-intelligence-and-smart-environment,BROKEN_404
3948,1098-092X,Gender Issues Springer New York / Unknown,Unknown,https://www.springer.com/journal/12147,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F12147,WORKING
3949,2301-3850,Unmanned Systems World Scientific / Unknown,Unknown,http://www.worldscientific.com/worldscinet/us,403,http://www.worldscientific.com/worldscinet/us,BROKEN_403
3950,0114-0582,Pacific Accounting Review Emerald Group Publishing / Unknown,Unknown,http://www.umi.com/pqdauto,200,https://www.umi.com/pqdauto,WORKING
3951,1540-5710,Popular Communication Routledge / Unknown,Unknown,https://www.tandfonline.com/toc/hppc20/current,403,https://www.tandfonline.com/toc/hppc20/current,BROKEN_403
3952,1755-2842,JOURNAL OF RISK / INCISIVE MEDIA,INCISIVE MEDIA,http://www.risk.net/type/journal/source/journal-of-risk,200,https://www.risk.net/journal-of-risk,WORKING
3953,1841-6624,REVISTA ROMANA DE MEDICINA DE  LABORATOR / SCIENDO,SCIENDO,http://www.rrml.ro,200,http://www.rrml.ro,WORKING
3954,2589-9171,Archives of Mental Health Wolters Kluwer Medknow P / Unknown,Unknown,http://www.amhonline.org/,200,https://journals.lww.com/amhe/pages/default.aspx,WORKING
3955,1538-5132,Journal of Planning History SAGE Publications Inc. / Unknown,Unknown,http://jph.sagepub.com/,403,http://jph.sagepub.com/,BROKEN_403
3956,2040-0896,"Art, Design and Communication in Higher Education  / Unknown",Unknown,http://www.ingentaconnect.com/content/intellect/adche,200,https://intellectdiscover.com/content/journals/adche,WORKING
3957,2049-7113,AMERICAN JOURNAL OF CULTURAL  SOCIOLOGY / PALGRAVE MACMILLAN LTD,PALGRAVE MACMILLAN LTD,https://link.springer.com/journal/41290,200,https://link.springer.com/journal/41290,WORKING
3958,2332-0346,Korean Language in America Penn State University P / Unknown,Unknown,,NO_URL,,NO_URL
3959,3041-2188,Alfred Nobel University Journal of Philology Alfre / Unknown,Unknown,,NO_URL,,NO_URL
3960,0025-6196,MAYO CLINIC PROCEEDINGS / ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,https://www.sciencedirect.com/journal/mayo-clinic-proceedings,403,https://www.sciencedirect.com/journal/mayo-clinic-proceedings,BROKEN_403
3961,0160-5682,JOURNAL OF THE OPERATIONAL  RESEARCH SOCIETY / TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,http://www.palgrave-journals.com/jors/index.html,ERROR,[WinError 10061] No connection could be made because the target machine actively refused it,BROKEN_NET
3962,0960-8923,OBESITY SURGERY / SPRINGER,SPRINGER,https://www.springer.com/journal/11695,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F11695,WORKING
3963,0232-1300,CRYSTAL RESEARCH AND TECHNOLOGY / WILEY-V C H VERLAG GMBH,WILEY-V C H VERLAG GMBH,https://onlinelibrary.wiley.com/journal/15214079,200,https://onlinelibrary.wiley.com/action/cookieAbsent,WORKING
3964,0953-6205,EUROPEAN JOURNAL OF INTERNAL  MEDICINE / ELSEVIER,ELSEVIER,https://www.sciencedirect.com/journal/european-journal-of-internal-medicine,403,https://www.sciencedirect.com/journal/european-journal-of-internal-medicine,BROKEN_403
3965,0024-3841,LINGUA / ELSEVIER,ELSEVIER,http://www.elsevier.com/locate/lingua,403,http://www.elsevier.com/locate/lingua,BROKEN_403
3966,1040-8398,CRITICAL REVIEWS IN FOOD SCIENCE  AND NUTRITION / TAYLOR & FRANCIS INC,TAYLOR & FRANCIS INC,http://www.tandfonline.com/toc/bfsn20/current#.UnwKBJSxO3N,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
3967,0048-0169,NEW ZEALAND VETERINARY JOURNAL / TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,https://www.tandfonline.com/toc/tnzv20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
3968,0165-232X,COLD REGIONS SCIENCE AND  TECHNOLOGY / ELSEVIER,ELSEVIER,https://www.journals.elsevier.com/cold-regions-science-and-technology,403,https://www.journals.elsevier.com/cold-regions-science-and-technology,BROKEN_403
3969,0008-3658,CANADIAN GEOGRAPHIES- GEOGRAPHIES CANADIENNES / WILEY,WILEY,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-0064,200,https://onlinelibrary.wiley.com/action/cookieAbsent,WORKING
3970,0141-7789,FEMINIST REVIEW / SAGE PUBLICATIONS LTD,SAGE PUBLICATIONS LTD,https://us.sagepub.com/en-us/nam/feminist-review/journal203522,500,https://us.sagepub.com/en-us/nam/feminist-review/journal203522,BROKEN_500
3971,0163-755X,MELUS / OXFORD UNIV PRESS INC,OXFORD UNIV PRESS INC,https://academic.oup.com/melus,403,https://academic.oup.com/melus,BROKEN_403
3972,0022-4200,JOURNAL OF RELIGION IN AFRICA / BRILL,BRILL,http://www.brill.nl/jra,ERROR,Remote end closed connection without response,BROKEN_NET
3973,1541-4337,COMPREHENSIVE REVIEWS IN FOOD  SCIENCE AND FOOD SA / WILEY,WILEY,http://www.wiley.com/bw/journal.asp?ref=1541-4337&site=1,404,http://www.wiley.com/bw/journal.asp?ref=1541-4337&site=1,BROKEN_404
3974,1389-4978,JOURNAL OF HAPPINESS STUDIES / SPRINGER,SPRINGER,https://www.springer.com/journal/10902,200,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Fwww.springer.com%2Fjournal%2F10902,WORKING
3975,1559-8276,American Journal of Lifestyle Medicine SAGE Public / Unknown,Unknown,https://us.sagepub.com/en-us/nam/journal/american-journal-lifestyle-medicine,500,https://us.sagepub.com/en-us/nam/journal/american-journal-lifestyle-medicine,BROKEN_500
3976,2212-0416,ECOSYSTEM SERVICES / ELSEVIER,ELSEVIER,https://www.journals.elsevier.com/ecosystem-services,403,https://www.journals.elsevier.com/ecosystem-services,BROKEN_403
3977,0748-0814,Journal of Law and Religion Cambridge University P / Unknown,Unknown,https://www.cambridge.org/core/journals/journal-of-law-and-religion,200,https://www.cambridge.org/core/journals/journal-of-law-and-religion,WORKING
3978,2736-3082,EUPHROSYNE-REVISTA DE FILOLOGIA  CLASSICA / BREPOLS PUBL,BREPOLS PUBL,,NO_URL,,NO_URL
3979,2093-0569,KOREAN JOURNAL OF PAIN / KOREAN PAIN SOC,KOREAN PAIN SOC,http://www.epain.org/,200,https://www.epain.org/main.html,WORKING
3980,1080-6539,DIACRITICS-A REVIEW OF  CONTEMPORARY CRITICISM / JOHNS HOPKINS UNIV PRESS,JOHNS HOPKINS UNIV PRESS,http://romancestudies.cornell.edu/diacritics/,200,https://romancestudies.cornell.edu/diacritics,WORKING
3981,2539-3596,Revista de Salud Publica Universidad Nacional de C / Unknown,Unknown,,NO_URL,,NO_URL
3982,1607-8055,World Leisure Journal Taylor and Francis Ltd. / Unknown,Unknown,https://www.tandfonline.com/toc/rwle20/current,403,https://www.tandfonline.com/toc/rwle20/current,BROKEN_403
3983,1084-1806,Administrative Theory and Praxis Taylor and Franci / N°   ISSN   E-ISSN,N°   ISSN   E-ISSN,https://www.tandfonline.com/toc/madt20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
3984,2359-5647,International Journal of Cardiovascular Sciences S / Unknown,Unknown,http://publicacoes.cardiol.br/portal/ijcs/ingles/2018/v3102/,200,http://publicacoes.cardiol.br/portal/ijcs/ingles/2018/v3102/,WORKING
3985,2300-7125,Folia Malacologica Association of Polish Malacolog / Unknown,Unknown,https://www.foliamalacologica.com/,ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018),BROKEN_NET
3986,2220-5799,"Anaesthesia, Pain and Intensive Care Faculty of An / Unknown",Unknown,http://www.apicareonline.com/index.php/,409,http://www.apicareonline.com/index.php/,BROKEN_409
3987,1741-7589,PROCEEDINGS OF THE INSTITUTION OF  CIVIL ENGINEERS / EMERALD GROUP PUBLISHING LT,EMERALD GROUP PUBLISHING LTD,https://www.icevirtuallibrary.com/journal/jwama,403,https://www.icevirtuallibrary.com/journal/jwama,BROKEN_403
3988,1461-4103,"ENVIRONMENTAL ARCHAEOLOGY / ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LT","ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LTD",https://www.tandfonline.com/toc/yenv20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
3989,2451-0742,Pediatria i Medycyna Rodzinna / Unknown,Unknown,http://www.pimr.pl/,ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018),BROKEN_NET
3990,1040-7391,DIFFERENCES-A JOURNAL OF FEMINIST  CULTURAL STUDIE / DUKE UNIV PRESS,DUKE UNIV PRESS,http://differences.dukejournals.org/,403,http://differences.dukejournals.org/,BROKEN_403
3991,1868-6478,EVOLVING SYSTEMS / SPRINGER HEIDELBERG,SPRINGER HEIDELBERG,https://link.springer.com/journal/12530,200,https://link.springer.com/journal/12530,WORKING
3992,2355-3596,Kemas Universitas Negeri Semarang / N°   ISSN   E-ISSN,N°   ISSN   E-ISSN,http://journal.unnes.ac.id/nju/index.php/kemas,403,http://journal.unnes.ac.id/nju/index.php/kemas,BROKEN_403
